date,clade_samples,total_samples,Nextstrain_clade,clade_pct,diff_log,nonvar_diff_log
2020-01-29,1,1,19A,1,NA,NA
2020-03-03,1,1,19A,1,0,NA
2020-03-04,4,4,20A,1,NA,NA
2020-03-05,2,8,19A,0.25,0.6931471805599453,0.4054651081081643
2020-03-05,6,8,20A,0.75,0.4054651081081644,0.6931471805599452
2020-03-06,10,10,20A,1,0.5108256237659909,NA
2020-03-07,1,25,19B,0.04,NA,NA
2020-03-07,24,25,20A,0.96,0.8754687373538999,0
2020-03-08,2,2,20A,1,-2.4849066497880004,NA
2020-03-09,1,1,20A,1,-0.6931471805599453,NA
2020-03-10,1,1,19B,1,0,NA
2020-03-11,1,4,19B,0.25,0,0.34657359027997264
2020-03-11,2,4,20A,0.5,0.6931471805599453,0
2020-03-11,1,4,20C,0.25,NA,NA
2020-03-12,2,2,20A,1,0,NA
2020-03-13,2,2,20A,1,0,NA
2020-03-14,4,14,19B,0.2857142857142857,1.3862943611198906,0.6486367163517711
2020-03-14,7,14,20A,0.5,1.252762968495368,0.6931471805599453
2020-03-14,1,14,20B,0.07142857142857142,NA,NA
2020-03-14,2,14,20C,0.14285714285714285,0.6931471805599453,0.8796857765384195
2020-03-15,5,6,20A,0.8333333333333334,-0.33647223662121295,-0.6931471805599454
2020-03-15,1,6,20C,0.16666666666666666,-0.6931471805599453,-0.33647223662121306
2020-03-16,1,13,19A,0.07692307692307693,-0.6931471805599453,0.04558038919848867
2020-03-16,6,13,19B,0.4615384615384616,0.4054651081081644,-0.22907268296853875
2020-03-16,4,13,20A,0.3076923076923077,-0.2231435513142097,-0.07192051811294523
2020-03-16,1,13,20B,0.07692307692307693,0,-0.12770640594149765
2020-03-16,1,13,20C,0.07692307692307693,0,-0.12770640594149765
2020-03-17,1,24,19A,0.04166666666666666,0,0.519860385419959
2020-03-17,2,24,19B,0.08333333333333333,-1.0986122886681096,0.7945134575869864
2020-03-17,12,24,20A,0.5,1.0986122886681098,0.2452073132529316
2020-03-17,1,24,20B,0.04166666666666666,0,0.519860385419959
2020-03-17,8,24,20C,0.3333333333333333,2.0794415416798357,1.1102230246251565e-16
2020-03-18,1,6,19A,0.16666666666666666,0,-1.290400336969297
2020-03-18,1,6,19B,0.16666666666666666,-0.6931471805599453,-1.0593512767826485
2020-03-18,2,6,20A,0.3333333333333333,-1.791759469228055,-0.6931471805599453
2020-03-18,2,6,20C,0.3333333333333333,-1.3862943611198904,-0.8283022165960001
2020-03-19,5,6,20A,0.8333333333333334,0.916290731874155,-0.6931471805599453
2020-03-19,1,6,20C,0.16666666666666666,-0.6931471805599453,0.916290731874155
2020-03-20,1,8,19B,0.125,0,0.09116077839697734
2020-03-20,6,8,20A,0.75,0.18232155679395468,0
2020-03-20,1,8,20C,0.125,0,0.09116077839697734
2020-03-21,1,3,19B,0.3333333333333333,0,-1.0986122886681096
2020-03-21,2,3,20A,0.6666666666666666,-1.0986122886681096,0
2020-03-22,1,16,19A,0.0625,0,1.320271056532526
2020-03-22,3,16,19B,0.1875,1.0986122886681098,0.9540669603098229
2020-03-22,7,16,20A,0.4375,1.252762968495368,0.9026834003674034
2020-03-22,5,16,20C,0.3125,1.6094379124341003,0.7837917523878261
2020-03-23,2,12,19B,0.16666666666666666,-0.4054651081081645,-0.05138355994241939
2020-03-23,5,12,20A,0.4166666666666667,-0.33647223662121295,-0.07438118377140324
2020-03-23,3,12,20B,0.25,1.0986122886681098,-0.5527426922011774
2020-03-23,2,12,20C,0.16666666666666666,-0.916290731874155,0.11889164797957745
2020-03-24,2,12,19B,0.16666666666666666,0,0.23500181462286773
2020-03-24,8,12,20A,0.6666666666666666,0.47000362924573547,0
2020-03-24,2,12,20C,0.16666666666666666,0,0.23500181462286773
2020-03-25,6,33,19B,0.18181818181818185,1.0986122886681096,0.6196329240218944
2020-03-25,14,33,20A,0.42424242424242425,0.5596157879354227,0.7992984242661234
2020-03-25,2,33,20B,0.06060606060606061,-0.4054651081081645,1.1209920562806526
2020-03-25,11,33,20C,0.3333333333333333,1.7047480922384253,0.41758765616512256
2020-03-26,1,36,19A,0.02777777777777777,0,0.06029051420422196
2020-03-26,4,36,19B,0.1111111111111111,-0.4054651081081644,0.16165679123126306
2020-03-26,14,36,20A,0.3888888888888889,0,0.06029051420422196
2020-03-26,3,36,20B,0.08333333333333333,0.4054651081081645,-0.04107576282281916
2020-03-26,14,36,20C,0.3888888888888889,0.24116205681688774,2.7755575615628914e-17
2020-03-27,24,31,20A,0.7741935483870968,0.5389965007326873,-0.6931471805599452
2020-03-27,7,31,20C,0.2258064516129032,-0.6931471805599452,0.5389965007326873
2020-03-28,3,25,19B,0.12,-0.2876820724517808,-0.4039803246583711
2020-03-28,15,25,20A,0.6,-0.4700036292457357,-0.34320647239371943
2020-03-28,2,25,20B,0.08,-0.4054651081081645,-0.3647193127729098
2020-03-28,5,25,20C,0.2,-0.33647223662121295,-0.3877169366018937
2020-03-29,1,1,20A,1,-2.70805020110221,NA
2020-03-30,2,2,20A,1,0.6931471805599453,NA
2020-04-01,11,48,20A,0.22916666666666663,1.7047480922384253,2.0014800002101243
2020-04-01,37,48,20C,0.7708333333333334,2.0014800002101243,1.7047480922384253
2020-04-02,1,34,19B,0.02941176470588235,-1.0986122886681098,-0.4024032491828998
2020-04-02,26,34,20A,0.7647058823529411,0.8602012652231115,-1.3818100261285104
2020-04-02,7,34,20C,0.2058823529411765,-1.6650077635889111,-0.11920551172249916
2020-04-03,90,94,20A,0.9574468085106383,1.2417131323087829,-0.5596157879354227
2020-04-03,4,94,20C,0.0425531914893617,-0.5596157879354227,1.2417131323087829
2020-04-04,5,33,20A,0.15151515151515152,-2.8903717578961645,1.9459101490553132
2020-04-04,28,33,20C,0.8484848484848485,1.9459101490553132,-2.8903717578961645
2020-04-05,5,7,20A,0.7142857142857143,0,-2.6390573296152584
2020-04-05,2,7,20C,0.2857142857142857,-2.6390573296152584,0
2020-04-06,1,55,19A,0.01818181818181818,0,1.0389382975876862
2020-04-06,1,55,19B,0.01818181818181818,0,1.0389382975876862
